"symbol","sector","date_stamp","close","adjusted_close","volume","sp500"
AAPL,"2",2020-02-07,320.03,319.1861,29421012.0,3327.7099609375
AAPL,"2",2020-02-10,321.55,320.702,27337215.0,3352.090087890625
AAPL,"2",2020-02-11,319.61,318.7672,23580780.0,3357.75
AAPL,"2",2020-02-12,327.2,326.3371,28432573.0,3379.449951171875
AAPL,"2",2020-02-13,324.87,324.0133,23686892.0,3373.93994140625
AAPL,"2",2020-02-14,324.95,324.0931,20028447.0,3380.159912109375
AAPL,"2",2020-02-18,319.0,318.1588,38190545.0,3370.2900390625
AAPL,"2",2020-02-19,323.62,322.7666,23495991.0,3386.14990234375
AAPL,"2",2020-02-20,320.3,319.4553,25141489.0,3373.22998046875
AAPL,"2",2020-02-21,313.05,312.2245,32426415.0,3337.75
AAPL,"2",2020-02-24,298.18,297.3937,55548828.0,3225.889892578125
AAPL,"2",2020-02-25,288.08,287.3203,57668364.0,3128.2099609375
AAPL,"2",2020-02-26,292.65,291.8783,49678431.0,3116.389892578125
AAPL,"2",2020-02-27,273.52,272.7987,80151381.0,2978.760009765625
AAPL,"2",2020-02-28,273.36,272.6391,106721230.0,2954.219970703125
AAPL,"2",2020-03-02,298.81,298.022,85349339.0,3090.22998046875
AAPL,"2",2020-03-03,289.32,288.557,79868852.0,3003.3701171875
AAPL,"2",2020-03-04,302.74,301.9417,54794568.0,3130.1201171875
AAPL,"2",2020-03-05,292.92,292.1475,46893219.0,3023.93994140625
AAPL,"2",2020-03-06,289.03,288.2678,56544246.0,2972.3701171875
AAPL,"2",2020-03-09,266.17,265.4681,71686208.0,2746.56005859375
AAPL,"2",2020-03-10,285.34,284.5875,71322520.0,2882.22998046875
AAPL,"2",2020-03-11,275.43,274.7037,64094970.0,2741.3798828125
AAPL,"2",2020-03-12,248.23,247.5754,104618517.0,2480.639892578125
AAPL,"2",2020-03-13,277.97,277.237,92683032.0,2711.02001953125
AAPL,"2",2020-03-16,242.21,241.5713,80605865.0,2386.1298828125
AAPL,"2",2020-03-17,252.86,252.1932,81013965.0,2529.18994140625
AAPL,"2",2020-03-18,246.67,246.0195,75058406.0,2398.10009765625
AAPL,"2",2020-03-19,244.78,244.1345,67964255.0,2409.389892578125
AAPL,"2",2020-03-20,229.24,228.6355,100423346.0,2304.919921875
AAPL,"2",2020-03-23,224.37,223.7783,84188208.0,2237.39990234375
AAPL,"2",2020-03-24,246.88,246.229,71882773.0,2447.330078125
AAPL,"2",2020-03-25,245.52,244.8725,75900510.0,2475.56005859375
AAPL,"2",2020-03-26,258.44,257.7585,63140169.0,2630.070068359375
AAPL,"2",2020-03-27,247.74,247.0867,51054153.0,2541.469970703125
AAPL,"2",2020-03-30,254.81,254.138,41994110.0,2626.64990234375
AAPL,"2",2020-03-31,254.29,253.6194,49250501.0,2584.590087890625
AAPL,"2",2020-04-01,240.91,240.2747,44054638.0,2470.5
AAPL,"2",2020-04-02,244.93,244.2841,41483493.0,2526.89990234375
AAPL,"2",2020-04-03,241.41,240.7734,32470017.0,2488.64990234375
AAPL,"2",2020-04-06,262.47,261.7778,50455071.0,2663.679931640625
AAPL,"2",2020-04-07,259.43,258.7459,50721831.0,2659.409912109375
AAPL,"2",2020-04-08,266.07,265.3684,42223821.0,2749.97998046875
